raw_location,corrected_location
Jordan/Amman,Jordan/Amman
Jordan/Aqaba,Jordan/Aqaba
Jordan/Irbid,Jordan/Irbid
Jordan/Mafraq,Jordan/Mafraq
Jordan/Zarqa,Jordan/Zarqa
Mexico/Baja California/Ensenada,MEX/Baja California/Ensenada
Mexico/Baja California/Mexicali,MEX/Baja California/Mexicali
Mexico/Baja California/Rosarito,MEX/Baja California/Rosarito
Mexico/Baja California/Tijuana,MEX/Baja California/Tijuana
Mexico/Sonora/San Luis R√≠o Colorado,MEX/Sonora/San Luis Río Colorado
USA/Arizona/Yuma,USA/Arizona/Yuma
USA/California/Cruise_Ship_1,USA/California/Cruise_Ship_1
USA/California/Cruise_Ship_2,USA/California/Cruise_Ship_2
USA/California/Davis,USA/California/Davis
USA/California/Imperial,USA/California/Imperial
USA/California/Kern,USA/California/Kern
USA/California/Los Angeles,USA/California/Los Angeles
USA/California/Modesto,USA/California/Modesto
USA/California/Orange,USA/California/Orange
USA/California/Riverside,USA/California/Riverside
USA/California/Sacramento,USA/California/Sacramento
USA/California/San Bernardino,USA/California/San Bernardino
USA/California/San Diego,USA/California/San Diego
USA/California/Santa Barbara,USA/California/Santa Barbara
USA/California/Santa Barbara ,USA/California/Santa Barbara 
USA/California/Santa Clara,USA/California/Santa Clara
USA/California/Sonoma,USA/California/Sonoma
USA/California/Sutter,USA/California/Sutter
USA/California/Ventura,USA/California/Ventura
USA/Louisiana/New Orleans,USA/Louisiana/New Orleans
USA/Minnesota/Ramsey,USA/Minnesota/Ramsey
USA/Oklahoma/Tulsa,USA/Oklahoma/Tulsa
USA/Tennessee/Grainger,USA/Tennessee/Grainger
USA/Washington/King,USA/Washington/King
USA/Washington/Kitsap,USA/Washington/Kitsap
USA/West Virginia/Kanawha,USA/West Virginia/Kanawha
USA/Illinois/DuPage,USA/Illinois/DuPage
USA/California/Contra Costa,USA/California/Contra Costa
USA/Illinois/Rock Island,USA/Illinois/Rock Island
USA/Ohio/Hamilton,USA/Ohio/Hamilton
USA/Texas/Montgomery,USA/Texas/Montgomery
Mexico/Sonora/San Luis Rio Colorado,MEX/Sonora/San Luis Río Colorado
Mexico/Baja California/Tecate,MEX/Baja California/Tecate
USA/California/Los Angeles County,USA/California/Los Angeles County
USA/California/El Dorado,USA/California/El Dorado
USA/California/Fresno,USA/California/Fresno
USA/Alaska/Anchorage Municipality,USA/Alaska/Anchorage
USA/Utah/Salt Lake,USA/Utah/Salt Lake
USA/Pennsylvania/Allegheny,USA/Pennsylvania/Allegheny
USA/California/San Mateo,USA/California/San Mateo
USA/Wyoming/Albany,USA/Wyoming/Albany
Mexico/Baja California,MEX/Baja California
Mexico/Sonora,MEX/Sonora
Mexico/Chihuahua,MEX/Chihuahua
USA/Arizona/Pima,USA/Arizona/Pima
USA/Idaho/Ada,USA/Idaho/Ada
USA/Florida/Saint Johns,USA/Florida/Saint Johns
USA/Michigan/Wayne,USA/Michigan/Wayne
USA/New York/Westchester,USA/New York/Westchester
USA/Maryland/Anne Arundel,USA/Maryland/Anne Arundel
USA/Nevada/Clark,USA/Nevada/Clark
USA/Tennessee/Sumner,USA/Tennessee/Sumner
USA/California/City and County of San Francisco,USA/California/San Francisco
USA/Minnesota/Anoka,USA/Minnesota/Anoka
USA/California/Alameda,USA/California/Alameda
USA/California/Monterey,USA/California/Monterey
USA/Hawaii/Honolulu,USA/Hawaii/Honolulu
USA/Ohio/Clark,USA/Ohio/Clark
USA/New York/Warren,USA/New York/Warren
USA/Texas/Bell,USA/Texas/Bell
USA/Arizona/Maricopa,USA/Arizona/Maricopa
USA/Illinois/Cook,USA/Illinois/Cook
USA/New York/Orange,USA/New York/Orange
USA/California/Orange County,USA/California/Orange County
USA/Maryland/Montgomery,USA/Maryland/Montgomery
USA/North Carolina/Durham,USA/North Carolina/Durham
USA/California/Placer,USA/California/Placer
USA/California/Marin,USA/California/Marin
USA/Kentucky/Jefferson,USA/Kentucky/Jefferson
USA/Nevada/Douglas,USA/Nevada/Douglas
USA/New Jersey/Monmouth,USA/New Jersey/Monmouth
USA/Virginia/Fairfax,USA/Virginia/Fairfax
USA/Wisconsin/Bayfield,USA/Wisconsin/Bayfield
USA/California/Tulare,USA/California/Tulare
Mexico/Sonora/Obregon,MEX/Sonora/Obregon
Mexico/Chihuahua/Chihuahua,MEX/Chihuahua/Chihuahua
Mexico/Sonora/Hermosillo,MEX/Sonora/Hermosillo
Mexico/Jalisco/Vallarta,MEX/Jalisco/Vallarta
Mexico/Sinaloa/Los Mochis,MEX/Sinaloa/Los Mochis
Mexico/Sinaloa/Mazatlan,MEX/Sinaloa/Los Mochis
Mexico/Chihuahua/Ciudad Juarez,MEX/Chihuahua/Ciudad Juarez